FILE NAME^# OF ENTRIES^GLOBAL^FILE VERSION^LAST IEN
FILE^2792^DIC(^
INDEX^1453^DD("IX",^22.2^1508
MAILMAN OUTSTANDING FTP TRANSACTIONS^^XMBX(4.2995,^8.0^
INTERNET SUFFIX^259^DIC(4.2996,^8.0^259
REMOTE USER DIRECTORY^^XMD(4.2997,^8.0^
MESSAGE DELIVERY STATS^^XMBX(4.2998,^8.0^
MESSAGE STATISTICS^0^XMBS(4.2999,^8.0^
MAILMAN SITE PARAMETERS^1^XMB(1,^8.0^1
MAILMAN TIME ZONE^18^XMB(4.4,^8.0^18
NETWORK TRANSACTION^^XMB(4.5,^^
NETWORK SENDERS REJECTED^^XMBX(4.501,^8.0^
TRANSMISSION SCRIPT^14^XMB(4.6,^8.0^37
STATE^82^DIC(5,^5.3^115
COUNTY^3256^VIC(5.1,^2.2^3266
ZIP CODE^1^VIC(5.11,^2.2^1
POSTAL CODE^60528^XIP(5.12,^8.0^60561
COUNTY CODE^3327^XIP(5.13,^8.0^3327
PROVIDER CLASS^^DIC(7,^^
SPECIALITY^^DIC(7.1,^^
ELIGIBILITY CODE^22^DIC(8,^5.3^22
MAS ELIGIBILITY CODE^22^DIC(8.1,^5.3^22
IDENTIFICATION FORMAT^1^DIC(8.2,^5.3^1
HELP FRAME^752^DIC(9.2,^8.0^1280
PACKAGE^148^DIC(9.4,^8.0^236
BUILD^10505^XPD(9.6,^8.0^10873
INSTALL^10446^XPD(9.7,^8.0^10598
ROUTINE^29069^DIC(9.8,^8.0^35522
PATCH MONITOR^3555^XPD(9.9,^7.3^3582
PATCH MONITOR PARAMETER^1^XPD(9.95,^7.3^1
RACE^13^DIC(10,^5.3^13
ETHNICITY^4^DIC(10.2,^5.3^4
RACE AND ETHNICITY COLLECTION METHOD^4^DIC(10.3,^5.3^4
RACE MASTER^5^DGRAM(10.99,^5.3^5
MARITAL STATUS^6^DIC(11,^5.3^7
MASTER MARITAL STATUS^5^DGMMS(11.99,^5.3^5
RELIGION^84^DIC(13,^5.3^153
MASTER RELIGION^5^DGMR(13.99,^5.3^5
TASKS^^%ZTSK(^8.0^3548
VOLUME SET^1^%ZIS(14.5,^8.0^1
UCI ASSOCIATION^0^%ZIS(14.6,^8.0^
TASKMAN SITE PARAMETERS^1^%ZIS(14.7,^8.0^1
TASKMAN MONITOR^1013^%ZIS(14.71,^8.0^3092
TASKMAN SNAPSHOT^^%ZIS(14.72,^8.0^
TASK SYNC FLAG^0^%ZISL(14.8,^8.0^0
DUPLICATE RECORD^^VA(15,^7.3^
DUPLICATE RESOLUTION^1^VA(15.1,^7.3^2
XDR MERGE PROCESS^^VA(15.2,^7.3^
XDR REPOINTED ENTRY^^VA(15.3,^7.3^
MERGE IMAGES^^XDRM(^7.3^
M-UNIT TEST GROUP^1^%ut(17.9001,^1.5^1
FOUNDATIONS SITE PARAMETERS^1^XOB(18.01,^1.6^1
WEB SERVICE^7^XOB(18.02,^1.0^7
VISTALINK LISTENER CONFIGURATION^1^XOB(18.03,^1.6^1
VISTALINK LISTENER STARTUP LOG^^XOB(18.04,^1.6^
VISTALINK MESSAGE TYPE^3^XOB(18.05,^1.6^3
WEB SERVER^6^XOB(18.12,^1.0^6
WEB SERVER LOOKUP KEY^2^XOB(18.13,^1.0^2
OPTION^10410^DIC(19,^8.0^11865
AUDIT LOG FOR OPTIONS^14^XUSEC(19,^8.0^3170927.1231031
SECURITY KEY^586^DIC(19.1,^8.0^626
OPTION SCHEDULING^19^DIC(19.2,^8.0^19
MENUMAN QUICK HELP^85^DIC(19.8,^8.0^85
NAME COMPONENTS^67^VA(20,^8.0^68
PERIOD OF SERVICE^36^DIC(21,^5.3^122
POW PERIOD^8^DIC(22,^5.3^8
BRANCH OF SERVICE^14^DIC(23,^5.3^14
TYPE OF DISCHARGE^8^DIC(25,^5.3^9
HEALTH BENEFIT PLAN^46^DGHBP(25.11,^5.3^47
PRF LOCAL FLAG^^DGPF(26.11,^5.3^
PRF LOCAL FLAG HISTORY^^DGPF(26.12,^5.3^
PRF ASSIGNMENT^^DGPF(26.13,^5.3^
PRF ASSIGNMENT HISTORY^^DGPF(26.14,^5.3^
PRF NATIONAL FLAG^4^DGPF(26.15,^5.3^4
PRF TYPE^4^DGPF(26.16,^5.3^4
PRF HL7 TRANSMISSION LOG^^DGPF(26.17,^5.3^
PRF PARAMETERS^1^DGPF(26.18,^5.3^1
PRF HL7 QUERY LOG^^DGPF(26.19,^5.3^
PRF HL7 EVENT^1^DGPF(26.21,^5.3^1
PATIENT ENROLLMENT^^DGEN(27.11,^5.3^
ENROLLMENT QUERY LOG^^DGEN(27.12,^5.3^
ENROLLMENT/ELIGIBILITY UPLOAD AUDIT^^DGENA(27.14,^5.3^
ENROLLMENT STATUS^24^DGEN(27.15,^5.3^24
ENROLLMENT GROUP THRESHOLD^2^DGEN(27.16,^5.3^2
CATASTROPHIC DISABILITY REASONS^193^DGEN(27.17,^5.3^243
PENSION AWARD REASONS^165^DG(27.18,^5.3^165
NOSE AND THROAT RADIUM HISTORY^^DGNT(28.11,^5.3^
MST HISTORY^^DGMS(29.11,^5.3^
DISPOSITION LATE REASON^8^DIC(30,^5.3^8
DISABILITY CONDITION^1041^DIC(31,^^1041
CONTRACT/SHARING AGREEMENTS^^DIC(34,^5.0^
OTHER FEDERAL AGENCY^17^DIC(35,^5.3^17
SHARING AGREEMENT CATEGORY^^DG(35.1,^5.3^
SHARING AGREEMENT SUB-CATEGORY^^DG(35.2,^5.3^
INSURANCE COMPANY^0^DIC(36,^2.0^
DISPOSITION^39^DIC(37,^5.3^43
DG SECURITY LOG^^DGSL(38.1,^5.3^
INCONSISTENT DATA^0^DGIN(38.5,^5.3^
INCONSISTENT DATA ELEMENTS^146^DGIN(38.6,^^728
EMBOSSED CARD TYPE^5^DIC(39.1,^5.3^10
EMBOSSING DATA^29^DIC(39.2,^5.3^30
EMBOSSER EQUIPMENT FILE^^DIC(39.3,^5.3^
ADT/HL7 TRANSMISSION^^VAT(39.4,^5.3^
OPC^^SDASF(^5.3^
OPC ERRORS^^SDASE(^5.3^
HOLIDAY^1^HOLIDAY(^8.0^3031226
CLINIC STOP^556^DIC(40.7,^5.3^588
MEDICAL CENTER DIVISION^1^DG(40.8,^5.3^1
LOCATION TYPE^13^DIC(40.9,^5.3^13
SCHEDULED ADMISSION^^DGS(41.1,^5.3^
PRE-REGISTRATION AUDIT^^DGS(41.41,^5.3^
PRE-REGISTRATION CALL LIST^^DGS(41.42,^5.3^
PRE-REGISTRATION CALL LOG^^DGS(41.43,^5.3^
CENSUS^^DG(41.9,^5.3^
WARD LOCATION^^DIC(42,^5.3^
SPECIALTY^112^DIC(42.4,^5.3^112
WAIT LIST^^DGWAIT(^5.3^
PRIORITY GROUPING^27^DIC(42.55,^5.3^27
AMIS 334-341^^DGAM(334,^5.3^
AMIS 345&346^^DGAM(345,^5.3^
MAS PARAMETERS^^DG(43,^5.3^
MAS EVENT RATES^3^DG(43.1,^5.3^6909890.9999
MAS AWARD^12^DG(43.11,^5.3^12
VA ADMITTING REGULATION^73^DIC(43.4,^5.3^202
G&L CORRECTIONS^^DGS(43.5,^5.3^
G&L TYPE OF CHANGE^15^DG(43.61,^5.3^15
ADT TEMPLATE^4^DG(43.7,^5.3^4
HOSPITAL LOCATION^3^SC(^5.3^3
SDAM DATA MAP^12^SDAM(44.3,^5.3^12
PTF^^DGPT(^5.3^
SOURCE OF ADMISSION^53^DIC(45.1,^5.3^53
PTF TRANSFERRING FACILITY^^DGTF(^5.3^
SURGICAL SPECIALTY^16^DIC(45.3,^5.3^16
PTF DIALYSIS TYPE^8^DG(45.4,^5.3^8
PTF MESSAGE^^DGM(^5.3^
PLACE OF DISPOSITION^26^DIC(45.6,^5.3^26
PTF ABUSED SUBSTANCE^18^DIC(45.61,^5.3^18
PTF ARCHIVE/PURGE HISTORY FILE^^DGP(45.62,^5.3^
PTF AUSTIN ERROR CODES^316^DGP(45.64,^5.3^318
FACILITY SUFFIX^492^DIC(45.68,^^492
FACILITY TREATING SPECIALTY^41^DIC(45.7,^5.3^41
STATION TYPE^19^DIC(45.81,^5.3^99
CATEGORY OF BENEFICIARY^29^DIC(45.82,^5.3^29
PTF RELEASE^^DGP(45.83,^5.3^
PTF CLOSE OUT^^DGP(45.84,^5.3^
CENSUS WORKFILE^^DG(45.85,^5.3^
PTF CENSUS DATE^22^DG(45.86,^5.3^22
PTF TRANSACTION REQUEST LOG^^DGP(45.87,^5.3^
PTF EXPANDED CODE CATEGORY^6^DIC(45.88,^5.3^6
PTF EXPANDED CODE^1990^DIC(45.89,^5.3^6417
PAF^^DG(45.9,^5.3^
RUG-II^^DG(45.91,^5.3^
INPATIENT CPT CODE^^DGCPT(46,^5.3^
INPATIENT POV^^DGICD9(46.1,^5.3^
RAI MDS MONITOR^^DGRU(46.11,^5.3^
RAI MDS WARD TRANSLATION^^DGRU(46.12,^5.3^
RAI MDS ROOM-BED TRANSLATION^^DGRU(46.13,^5.3^
RAI MDS ASIH PATIENT^^DGRU(46.14,^5.3^
MAS FORMS AND SCREENS^5^DIC(47,^5.3^6
SUPPORTING DOCUMENTATION TYPES^21^DG(47.75,^5.3^21
SOURCE OF NOTIFICATIONS^14^DG(47.76,^5.3^14
SOURCE OF NOTIFICATION BUSINESS RULES^3^DG(47.761,^5.3^10
MAS RELEASE NOTES^1^DG(48,^5.3^5.3
MAS MODULE^9^DG(48.5,^5.3^9
SERVICE/SECTION^1^DIC(49,^8.0^1
DRUG^0^PSDRUG(^1.0^
DUE QUESTIONNAIRE^^PS(50.073,^7.0^
DUE ANSWER SHEET^^PS(50.0731,^7.0^
DUE QUESTION^^PS(50.0732,^7.0^
DUE SECTION^^PS(50.0733,^7.0^
IV CATEGORY^^PS(50.2,^5.0^
PRIMARY DRUG^^PS(50.3,^^
DRUG APPLICATION^7^PS(50.35,^^7
DRUG ELECTROLYTES^^PS(50.4,^1.0^
DRUG INGREDIENTS^5120^PS(50.416,^4.0^5147
VA GENERIC^5230^PSNDF(50.6,^4.0^5268
VA DRUG CLASS^580^PS(50.605,^4.0^641
DOSAGE FORM^318^PS(50.606,^1.0^325
MASTER DOSAGE FORM^5^PSMDF(50.60699,^1.0^5
DRUG UNITS^378^PS(50.607,^4.0^1014
PACKAGE TYPE^530^PS(50.608,^4.0^1006
PACKAGE SIZE^5298^PS(50.609,^4.0^5299
NATIONAL DRUG TRANSLATION^^PSNTRAN(^4.0^
PMI-ENGLISH^^PS(50.621,^4.0^
PMI-SPANISH^^PS(50.622,^4.0^
PMI MAP-ENGLISH^^PS(50.623,^4.0^
PMI MAP-SPANISH^^PS(50.624,^4.0^
WARNING LABEL-ENGLISH^^PS(50.625,^4.0^
WARNING LABEL-SPANISH^^PS(50.626,^4.0^
WARNING LABEL MAP^^PS(50.627,^4.0^
VA DISPENSE UNIT^64^PSNDF(50.64,^4.0^67
NDC/UPN^248975^PSNDF(50.67,^4.0^249020
VA PRODUCT^28347^PSNDF(50.68,^4.0^28372
PHARMACY ORDERABLE ITEM^^PS(50.7,^1.0^
IV STATS^^PS(50.8,^5.0^
DRUG COST^^PSCST(^7.0^
MEDICATION INSTRUCTION^0^PS(51,^1.0^
ADMINISTRATION SCHEDULE^18^PS(51.1,^1.0^39
ADMINISTRATION SHIFT^^PS(51.15,^5.0^
MEDICATION ROUTES^240^PS(51.2,^3.18^266
STANDARD MEDICATION ROUTES^57^PS(51.23,^1.0^57
DOSE UNITS^53^PS(51.24,^1.0^53
DOSE UNIT CONVERSION^50^PS(51.25,^1.0^67
ORDER UNIT^33^DIC(51.5,^1.0^33
DRUG TEXT^28^PS(51.7,^1.0^29
PRESCRIPTION^0^PSRX(^7.0^
REMOTE PRESCRIPTION LOG^^PSRXR(52.09,^7.0^
PATIENT NOTIFICATION (Rx READY)^^PS(52.11,^7.0^
RX VERIFY^^PS(52.4,^7.0^
PENDING OUTPATIENT ORDERS^^PS(52.41,^7.0^
PRESCRIPTION REFILL REQUEST^^PS(52.43,^7.0^
ERX SERVICE REASON CODES^243^PS(52.45,^7.0^243
ERX EXTERNAL PATIENT^^PS(52.46,^7.0^
ERX EXTERNAL PHARMACY^^PS(52.47,^7.0^
ERX EXTERNAL PERSON^^PS(52.48,^7.0^
ERX HOLDING QUEUE^^PS(52.49,^7.0^
RX SUSPENSE^0^PS(52.5,^7.0^0
PHARMACY EXTERNAL INTERFACE^^PS(52.51,^7.0^
CLOZAPINE PRESCRIPTION OVERRIDES^^PS(52.52,^7.0^
PHARMACY AUTOMATED DISPENSING DEVICES^^PS(52.53,^7.0^
IV ADDITIVES^^PS(52.6,^1.0^
IV SOLUTIONS^^PS(52.7,^1.0^
IV MEDICATION ORDERS DC'D^^PS(52.75,^5.0^
PHARMACY ARCHIVE^0^PSOARC(^7.0^
EPHARMACY MEDICATION PROFILE PREFERENCES^^PS(52.85,^7.0^
EPHARMACY SITE PARAMETERS^^PS(52.86,^7.0^
PSO AUDIT LOG^^PS(52.87,^7.0^
PHARMACY PRINTED QUEUE^^PS(52.9,^7.0^
TPB ELIGIBILITY^^PS(52.91,^7.0^
TPB INSTITUTION LETTERS^^PS(52.92,^7.0^
RX PATIENT STATUS^15^PS(53,^7.0^20
NON-VERIFIED ORDERS^^PS(53.1,^5.0^
UNIT DOSE ORDER SET^0^PS(53.2,^5.0^
ACTIVITY LOG REASON^90^PS(53.3,^5.0^18560
PRE-EXCHANGE NEEDS^^PS(53.4,^5.0^
MAR LABELS^^PS(53.41,^5.0^
INPATIENT BACKGROUND JOB^^PS(53.42,^5.0^
MISCELLANEOUS REPORT FILE^^PS(53.43,^5.0^
PHYSICIANS' ORDERS^^PS(53.44,^5.0^
INPATIENT USER PARAMETERS^^PS(53.45,^5.0^
CLINIC DEFINITION^^PS(53.46,^5.0^
INFUSION INSTRUCTIONS^^PS(53.47,^1.0^
PICK LIST^^PS(53.5,^5.0^
UNIT DOSE/ATC MEDS^^PS(53.55,^5.0^
BCMA IV PARAMETERS^^PSB(53.66,^3.0^
BCMA MISSING DOSE REQUEST^^PSB(53.68,^3.0^
BCMA REPORT REQUEST^914^PSB(53.69,^3.0^914
BCMA BACKUP DATA^^ALPB(53.7,^2.0^
BCMA BACKUP PARAMETERS^1^ALPB(53.71,^3.0^1
BCMA UNABLE TO SCAN LOG^^PSB(53.77,^3.0^
BCMA MEDICATION VARIANCE LOG^^PSB(53.78,^3.0^
BCMA MEDICATION LOG^^PSB(53.79,^3.0^
RX CONSULT^20^PS(54,^1.0^20
PHARMACY PATIENT^^PS(55,^1.0^
DRUG MANUFACTURER^5075^PS(55.95,^4.0^5506
DRUG INTERACTION^20124^PS(56,^4.0^55301
PHARMACY QUICK ORDER^^PS(57.1,^^
PPS-N UPDATE CONTROL^1^PS(57.23,^4.0^1
WARD GROUP^^PS(57.5,^5.0^
UNIT DOSE PICK LIST STATS^^PS(57.6,^5.0^
MEDICATION ADMINISTERING TEAM^^PS(57.7,^5.0^
CLINIC GROUP^^PS(57.8,^5.0^
PHARMACY AOU STOCK^^PSI(58.1,^^
AOU INVENTORY TYPE^^PSI(58.16,^^
AOU ITEM LOCATION^^PSI(58.17,^^
PHARMACY AOU INVENTORY^^PSI(58.19,^^
AOU INVENTORY GROUP^^PSI(58.2,^^
PHARMACY BACKORDER^^PSI(58.3,^^
RETURN DRUG^^PSD(58.35,^3.0^
RETURN DRUG CONTRACTOR^^PSD(58.36,^3.0^
SPMP ASAP RECORD DEFINITION^2^PS(58.4,^7.0^2
SPMP STATE PARAMETERS^^PS(58.41,^7.0^
SPMP EXPORT BATCH^^PS(58.42,^7.0^
AR/WS STATS FILE^^PSI(58.5,^2.3^
PADE INBOUND TRANSACTIONS^^PS(58.6,^5.0^
PADE INVENTORY SYSTEM^^PS(58.601,^5.0^
PADE DISPENSING DEVICE^^PS(58.63,^5.0^
PADE USER^^PS(58.64,^5.0^
PADE SYSTEM SETUP^^PS(58.7,^5.0^
PADE SEND AREA^^PS(58.71,^5.0^
PADE OUTBOUND MESSAGES^^PS(58.72,^5.0^
DRUG ACCOUNTABILITY STATS^1^PSD(58.8,^3.0^1
DRUG ACCOUNTABILITY TRANSACTION^0^PSD(58.81,^3.0^
DRUG ACCOUNTABILITY ORDER^^PSD(58.811,^3.0^
DA UPLOAD^1^PSD(58.812,^3.0^1
CS ORDER STATUS^14^PSD(58.82,^3.0^13
CS COMPLETION STATUS^6^PSD(58.83,^3.0^6
DRUG ACCOUNTABILITY TRANSACTION TYPE^24^PSD(58.84,^3.0^24
CS WORKSHEET^^PSD(58.85,^3.0^
CS DESTRUCTION^0^PSD(58.86,^3.0^
CS CORRECTION LOG^^PSD(58.87,^3.0^
CS IRL PROGRAM^1^PSD(58.88,^3.0^1
CS ERROR LOG^^PSD(58.89,^3.0^
OUTPATIENT SITE^^PS(59,^7.0^
OUTPATIENT AMIS DATA^^PS(59.1,^7.0^
OUTPATIENT PHARMACY MANAGEMENT DATA^^PS(59.12,^7.0^
WAITING TIME^^PS(59.2,^7.0^
GROUP DISPLAY^^PS(59.3,^7.0^
INPATIENT SITE^^PS(59.4,^^
IV ROOM^^PS(59.5,^5.0^
INPATIENT WARD PARAMETERS^^PS(59.6,^5.0^
PHARMACY SYSTEM^1^PS(59.7,^1.0^1
VENDOR DISABLE/ENABLE^^PS(59.73,^1.0^
VENDOR INTERFACE DATA^^PS(59.74,^1.0^
OUTPATIENT CLINIC SORT GROUP^^PS(59.8,^7.0^
PBM PATIENT DEMOGRAPHICS^2^PSUDEM(^4.0^2
LABORATORY TEST^1038^LAB(60,^5.2^5089
TOPOGRAPHY FIELD^8576^LAB(61,^5.2^8818
MORPHOLOGY FIELD^3609^LAB(61.1,^5.2^3623
ETIOLOGY FIELD^4568^LAB(61.2,^5.2^4951
FUNCTION FIELD^5727^LAB(61.3,^5.2^5802
MICRO INSTRUMENT SET-UP^1^LAB(61.38,^^1
LABORATORY INSTRUMENT CODE^3^LAB(61.39,^^25
DISEASE FIELD^3215^LAB(61.4,^5.2^3215
PROCEDURE FIELD^2813^LAB(61.5,^5.2^2813
OCCUPATION FIELD^1507^LAB(61.6,^5.2^1507
COLLECTION SAMPLE^50^LAB(62,^5.2^52
URGENCY^17^LAB(62.05,^5.2^9
ANTIMICROBIAL SUSCEPTIBILITY^36^LAB(62.06,^5.2^40
EXECUTE CODE^45^LAB(62.07,^5.2^69
DELTA CHECKS^22^LAB(62.1,^5.2^41
LAB SECTION^14^LAB(62.2,^5.2^23
LAB CONTROL NAME^0^LAB(62.3,^5.2^
AUTO INSTRUMENT^102^LAB(62.4,^5.2^202
LAB CODE MAPPING^70^LAB(62.47,^5.2^90
LA7 MESSAGE PARAMETER^16^LAHM(62.48,^5.2^35
LA7 MESSAGE LOG BULLETINS^85^LAHM(62.485,^5.2^307
FOREIGN INTERFACE^^LAB(62.487,^5.2^
LA7 MESSAGE QUEUE^^LAHM(62.49,^5.2^
LAB DESCRIPTIONS^267^LAB(62.5,^5.2^343
AGGLUTINATION STRENGTH^25^LAB(62.55,^5.2^25
ACCESSION TEST GROUP^^LAB(62.6,^5.2^
LAB SHIPPING MANIFEST^^LAHM(62.8,^5.2^
LAB SHIPPING EVENT^^LAHM(62.85,^5.2^
LAB SHIPPING CONFIGURATION^^LAHM(62.9,^5.2^
LAB SHIPPING CONTAINER^^LAHM(62.91,^5.2^
LAB SHIPPING METHOD^^LAHM(62.92,^5.2^
LAB SHIPPING CONDITIONS^^LAHM(62.93,^5.2^
LAB DATA^1^LR(^5.2^1
ARCHIVED LR DATA^^LAR("Z",^5.2^
WKLD CODE^16450^LAM(^5.2^99999
WKLD LOG FILE^^LRO(64.03,^5.2^
LAB DSS LAR EXTRACT^^LAR(64.036,^5.2^
NON WKLD PROCEDURES^127^LAB(64.05,^5.2^129
LAB ELECTRONIC CODES^8545^LAB(64.061,^5.2^13416
LAB ELECTRONIC SUBTYPES^16^LAB(64.062,^5.2^16
WKLD DATA^^LRO(64.1,^5.2^
ARCHIVED WKLD DATA^^LAR(64.19999,^5.2^
WKLD SUFFIX CODES^4382^LAB(64.2,^5.2^5767
WKLD CODE LAB SECT^19^LAB(64.21,^5.2^28
WKLD ITEM FOR COUNT^53^LAB(64.22,^5.2^66
WKLD INSTRUMENT MANUFACTURER^284^LAB(64.3,^5.2^284
LAB REPORTS^1^LAB(64.5,^5.2^1
INTERIM REPORTS^^LAB(64.6,^5.2^
CUMULATIVE^^LAC("LRAC",^5.2^
LAB NLT/CPT CODES^1^LAB(64.81,^5.2^50
LSRP AUDIT CONFIG^1^LABAUD(64.9178,^5.2^1
BLOOD INVENTORY^1^LRD(65,^5.2^1
BLOOD BANK UTILITY^42^LAB(65.4,^5.2^52
BLOOD DONOR^^LRE(^5.2^
LAB LETTER^10^LAB(65.9,^5.2^11
BLOOD PRODUCT^66^LAB(66,^5.2^143
BLOOD BANK VALIDATION^146^LAB(66.2,^5.2^147
MASTER LABORATORY TEST^17^LRMLTF(^5.2^17
LAB MLTF MANAGED ITEMS^1^LAB(66.4,^5.2^1
OPERATION (MSBOS)^^LAB(66.5,^5.2^
BLOOD COMPONENT REQUEST^^LAB(66.9,^5.2^
REFERRAL PATIENT^^LRT(67,^5.2^
RESEARCH^^LRT(67.1,^5.2^
STERILIZER^^LRT(67.2,^5.2^
ENVIRONMENTAL^^LRT(67.3,^5.2^
NON PATIENT WORKLOAD^^LRT(67.4,^5.2^
LAB MONTHLY WORKLOADS^^LRO(67.9,^5.2^
ARCHIVED LAB MONTHLY WORKLOADS^^LAR(67.99999,^5.2^
ACCESSION^22^LRO(68,^5.2^36
LOAD/WORK LIST^^LRO(68.2,^5.2^
WORKLIST HEADINGS^^DIC(68.4,^5.2^
LAB ORDER ENTRY^1^LRO(69,^5.2^1
COLLECTION LIST^^LRO(69.1,^5.2^
LAB SECTION PRINT^^LRO(69.2,^5.2^
LAB SEARCH/EXTRACT PROTOCOL^1^LAB(69.4,^5.2^1590
LAB SEARCH/EXTRACT^23^LAB(69.5,^5.2^26
LREPI REMINDER LINK^3^LAB(69.51,^5.2^3
LAB PENDING ORDERS ENTRY^0^LRO(69.6,^5.2^
LR CPRS PARAMETERS^15^LAB(69.71,^5.2^130
LR AP DIALOG CONFIG^14^LAB(69.73,^5.2^4980
HOWDY SITE FILE^^LRHY(69.86,^5.2^
HOWDY SPECIMEN TIMES BY UID^^LRHY(69.87,^5.2^
LABORATORY SITE^1^LAB(69.9,^5.2^1
LR ROUTINE INTEGRITY CHECKER^1^LAB(69.91,^5.2^1
RAD/NUC MED PATIENT^^RADPT(^5.0^
NUC MED EXAM DATA^^RADPTN(^5.0^
RADIATION ABSORBED DOSE^^RAD(^5.0^
RAD/NUC MED PROCEDURES^520^RAMIS(71,^5.0^535
MAJOR RAD/NUC MED AMIS CODES^27^RAMIS(71.1,^5.0^27
NEW RAD PROCEDURE WORKUP^^RAMRPF(71.11,^5.0^
PROCEDURE MODIFIERS^5^RAMIS(71.2,^5.0^5
RAD/NUC MED COMMON PROCEDURE^^RAMIS(71.3,^5.0^
RAD/NUC MED PROCEDURE MESSAGE^^RAMIS(71.4,^5.0^
IMAGING STOP CODES^^RAMIS(71.5,^5.0^
ROUTE OF ADMINISTRATION^17^RAMIS(71.6,^5.0^19
SITE OF ADMINISTRATION^47^RAMIS(71.7,^5.0^48
